"Rank","Player","Deck","Wins","Losses"
"1","Christoffer Larsen","Mono-Red Aggro","12","1"
"2","simon kamerow","Jeskai Cycling","11","2"
"3","sandydogmtg","Mono-Red Aggro","10","2"
"4","liopoil","Naya Fury","9","3"
"5","J  P","Mono-Red Aggro","9","2"
"6","outback@ Horie","Sultai Ultimatum","8","3"
"7","Riley Hicks","Jund Sacrifice","8","3"
"8","targetplayer","Selesnya Adventures","8","3"
"9","RobertTheBruce","Mono-Red Aggro","8","2"
"10","Eliott_dragon","Dimir Control","8","2"
"11","cftsoc","Naya Fury","8","2"
"12","Nicholas DeMichele","Jeskai Cycling","8","2"
"13","hironori tanaka","Sultai Ultimatum","7","2"
"14","Garrison Fogt","Four-color Cycling","7","2"
"15","Kazune Kosaka","Naya Fury","7","2"
"16","Lorenzo Pollone","Sultai Ultimatum","7","2"
"17","Barry Riddell","Mono-Red Aggro","7","2"
"18","M. Kraus","Naya Fury","7","2"
"19","NamelessThing","Naya Fury","7","2"
"20","Tyler Heule","Mono-Red Aggro","7","2"
"21","Andrew Baeckstrom","Dimir Rogues","7","2"
"22","Paulo Henrique Dos Santos Pinto","Grixis Control","7","2"
"23","Petros Tziotis","Sultai Ultimatum","7","2"
"24","insanity","Mono-White Aggro","7","2"
"25","Bjorn Telgenkamp","Mono-Red Aggro","7","2"
"26","Tianhao Xu","Mono-White Aggro","7","2"
"27","Jomy Alfonso","Mono-White Aggro","7","2"
"28","Alexander Gordon-Brown","Sultai Ultimatum","7","2"
"29","Achim Noffke","Temur Adventures (Obosh)","7","2"
"30","Berk Elçi","Dimir Rogues","7","2"
"31","Florian Klein","Grixis Control","7","2"
"32","Tian Fa Mun","Four-color Control","6","3"
"33","Tatsuaki Yajima","Mono-Red Aggro","6","3"
"34","PTarts2win","Gruul Adventures","6","3"
"35","Alberto Canetti","Gruul Adventures","6","3"
"36","Koutarou Ishibashi","Sultai Ultimatum","6","3"
"37","Darío Fernández","Jund Sacrifice","6","3"
"38","yoshiro mikami","Sultai Ultimatum","6","3"
"39","Darwin Fuenzalida","Gruul Adventures","6","3"
"40","James Diamond","Temur Adventures (Obosh)","6","3"
"41","Francesco Saverio Caminada","Grixis Control","6","3"
"42","Luca Moretti","Sultai Ultimatum","6","3"
"43","Piotr Wiktorzak","Jeskai Cycling","6","3"
"44","Philip Mahr","Grixis Control","6","3"
"45","Ruby Polanco","Rakdos Midrange","6","3"
"46","Joel Enrique Arauz","Temur Adventures (Obosh)","6","3"
"47","Leonardo Lima - HG Team","Esper Doom Foretold","6","3"
"48","Skub","Mono-Red Aggro","6","3"
"49","Yuuki Ichikawa","Naya Fury","5","3"
"50","Ari Lax","Gruul Adventures","5","3"
"51","Daniel Dalesandro","Mono-Red Aggro","5","3"
"52","oliver oguma","Jund Sacrifice","5","3"
"53","Steven Jacobsen","Naya Fury","5","3"
"54","Tim Schmeltz","Mono-White Aggro","5","3"
"55","Mykhailo Yarysh","Mono-Red Aggro","5","3"
"56","Tyler Anderson","Izzet Tempo","5","3"
"57","cesare cicolin","Gruul Adventures","5","3"
"58","Frederick Tan","Gruul Adventures","5","3"
"59","Drew Iafrate","Mono-Red Aggro","5","3"
"60","xfile","Mono-Red Aggro","5","3"
"61","Ivan Von Loh","Izzet Tempo","5","3"
"62","Jhon Loor Andrade","Gruul Adventures","5","3"
"63","Arthur Carson","Four-color Combo","5","3"
"64","MASAHIDE MORIYAMA","Gruul Adventures","5","3"
"65","Franche Tan","Sultai Ultimatum","5","3"
"66","krinring","Mono-Red Aggro","5","3"
"67","Leon Milton","Sultai Ultimatum","5","3"
"68","Omar B","Naya Fury","5","3"
"69","Santi Delgado","Four-color Cycling","5","3"
"70","Misplacedginger","Gruul Adventures","5","3"
"71","Etherion","Mono-Red Aggro","5","3"
"72","Brandon Downs","Gruul Adventures","5","2"
"73","Michael Ingram","Mono-Red Aggro","4","3"
"74","Kasey Jarvis","Gruul Adventures","4","3"
"75","Maxime Mathy","Gruul Adventures","4","3"
"76","Robert McKee","Mono-Red Aggro","4","3"
"77","Rapsolo","Mono-White Aggro","4","3"
"78","Vonschuggle","Mono-Red Aggro","4","3"
"79","Francesco Recchiuti","Rakdos Sacrifice","4","3"
"80","Thierry Ramboa","Sultai Ultimatum","4","3"
"81","Joseph DeJoy","Sultai Ultimatum","4","3"
"82","Matteo Bruschi","Four-color Control","4","3"
"83","John Boyd","Mono-Green Aggro","4","3"
"84","Max Dore","Rakdos Sacrifice","4","3"
"85","Kyle Lewis","Gruul Adventures","4","3"
"86","Francisco Sanchez","Naya Fury","4","3"
"87","Admassu Williams","Naya Fury","4","3"
"88","Maxence Pougnard","Esper Doom Foretold","4","3"
"89","changsu kou","Naya Fury","4","3"
"90","Michael Shank","Mono-White Aggro","4","3"
"91","Guilherme Telles","Sultai Ultimatum","4","3"
"92","Michael Stigall","Sultai Ultimatum","4","3"
"93","Tina Morgan","Rakdos Sacrifice","4","3"
"94","Diogo Travassos","Dimir Rogues","4","3"
"95","Steffen Stadler","Gruul Adventures","4","3"
"96","Naonari Hoshide","Four-color Midrange","4","3"
"97","Shoma Kanai","Sultai Ultimatum","4","3"
"98","Alessandro Ventura","Sultai Ultimatum","4","3"
"99","Joris Voorn","Dimir Control","4","3"
"100","Jimmyto Lara","Temur Adventures (Obosh)","4","3"
"101","Matias De la Parra","Mono-White Aggro","4","3"
"102","James Lebar","Rakdos Mill","3","3"
"103","Zachary Okorn","Naya Fury","3","3"
"104","Erik Coomber","Dimir Mutate","3","3"
"105","Maximillian Wink","Mono-White Aggro","3","3"
"106","Jeff Einhaus","Gruul Adventures","3","3"
"107","Raymond Delmarter","Mono-White Aggro","3","3"
"108","Stefano Giunta","Four-color Cycling","3","3"
"109","Chandrasekhar Bhagavatula","Four-color Cycling","3","3"
"110","Felix Vergara","Mono-Red Aggro","3","3"
"111","Maher  Samuel","Gruul Adventures","3","3"
"112","Gavin Bennett","Gruul Aggro","3","3"
"113","Shota Matsumoto","Sultai Ultimatum","3","3"
"114","Jaffer","Sultai Ultimatum","3","3"
"115","Larry Fields","Sultai Ultimatum","3","3"
"116","Alex Mykhno","Dimir Rogues","3","3"
"117","Javier Vargas","Sultai Control","3","3"
"118","Chosi","Sultai Ultimatum","3","3"
"119","Jeff Sheerin","Gruul Adventures","3","3"
"120","Marios-Isidoros Doropoulos","Mono-White Aggro","3","3"
"121","Alex Brinkley","Sultai Ultimatum","3","3"
"122","Hubald","Mono-White Aggro","3","3"
"123","Owen Donsker","Mono-White Aggro","3","3"
"124","James Schlott","Boros Midrange","3","3"
"125","Andrew Waldock","Mono-White Aggro","3","3"
"126","DavidYhEEAA","Mono-White Aggro","3","3"
"127","Marcelo Zorzi Pinarello","Mono-White Aggro","3","3"
"128","Ben Sowards","Naya Fury","3","3"
"129","Ambaro","Abzan Doom Foretold","3","3"
"130","Lorenzo Lazzarino","Rakdos Midrange","3","3"
"131","Herman Cosie","Gruul Adventures","3","3"
"132","Gabriel Nicholas","Gruul Adventures","3","2"
"133","Stone Cai","Mono-Red Aggro","3","2"
"134","Brett Fox","Gruul Adventures","3","2"
"135","emiliano paoli","Four-color Cycling","3","2"
"136","Tyler Nightingale","Naya Fury","3","2"
"137","toyokwsk","Naya Fury","3","2"
"138","Charles McCaffrey","Four-color Cycling","3","2"
"139","krowz","Sultai Ultimatum","3","2"
"140","Sho Ota","Naya Fury","3","2"
"141","Anthony Riojas","Mono-White Aggro","2","3"
"142","Marek Svačina","Gruul Adventures","2","3"
"143","piroki","Rakdos Sacrifice","2","3"
"144","Alonso Astroza Tagle","Gruul Adventures","2","3"
"145","Tritonmtg","Dimir Rogues","2","3"
"146","Adam Hernandez","Sultai Ultimatum","2","3"
"147","Kyle Reichard","Dimir Rogues","2","3"
"148","Zachary Hehlo","Dimir Control","2","3"
"149","Jackson Todd","Mono-Red Aggro","2","3"
"150","Andrew Macarico","Mono-Green Aggro","2","3"
"151","Saverio Quinto","Dimir Control","2","3"
"152","Roy Varney","Mono-White Aggro","2","3"
"153","Jovaras Komža","Gruul Adventures","2","3"
"154","Rumti","Mono-Green Aggro","2","3"
"155","Simón Arboleda Escobar","Dimir Rogues","2","3"
"156","Thomas Fabi","Mono-Red Aggro","2","3"
"157","Willian Fernandes","Sultai Ultimatum","2","3"
"158","Jonathan Ledy","Four-color Cycling","2","3"
"159","tianguang liu","Gruul Adventures","2","3"
"160","Marian Will","Mono-White Aggro","2","3"
"161","JUAN FRANCISCO ACOSTA","Mono-White Aggro","2","3"
"162","Dakota Walley","Mono-White Aggro","2","3"
"163","Corey Lerch","Boros Aggro","2","3"
"164","Henip","Gruul Adventures","2","3"
"165","Nick Lambe","Gruul Adventures","2","3"
"166","Alex Rubio","Sultai Ultimatum","2","3"
"167","Kmboggemes","Gruul Adventures","2","3"
"168","Sintaro Takakura","Naya Fury","2","3"
"169","Eugene K","Mono-Red Aggro","2","3"
"170","Jason Reid","Mono-Red Aggro","2","3"
"171","Andrew Jessup","Dimir Rogues","2","2"
"172","Nam Dang","Gruul Adventures","2","2"
"173","Tristan Wylde-LaRue","Gruul Adventures","2","2"
"174","richard","Gruul Adventures","2","2"
"175","Theo Moutier","Boros Aggro","2","2"
"176","Anna Wegener","Mono-Red Aggro","2","2"
"177","Luke Flynn","Mono-White Aggro","2","2"
"178","atelier","Dimir Control","2","2"
"179","Lukas Twist","Naya Combo","2","2"
"180","Tom Galstian","Naya Fury","2","2"
"181","Alfredo Barragan","Naya Fury","2","2"
"182","Bogdan Oros","Dimir Rogues","2","2"
"183","Takumi Utsunomiya","Naya Fury","2","2"
"184","Brendon Hansard","Mono-White Aggro","2","2"
"185","Maxime CLAYETTE","Esper Doom Foretold","2","2"
"186","Ashkan Paykar","Mono-Red Aggro","2","2"
"187","Stan Bergey","Sultai Ultimatum","2","2"
"188","ryota hakuno","Mono-Green Aggro","1","3"
"189","CLaudio Mendonca","Gruul Adventures","1","3"
"190","Jorge Gomez","Dimir Rogues","1","3"
"191","Paolo Andraghetti","Gruul Adventures","1","3"
"192","Albert Vetere","Sultai Ultimatum","1","3"
"193","java1","Mono-White Aggro","1","3"
"194","Nelson Rodrigues","Sultai Ultimatum","1","3"
"195","ProBlackKnight","Sultai Ultimatum","1","3"
"196","Robert Miller","Mono-Red Aggro","1","3"
"197","Gabriel Figueira","Gruul Adventures","1","3"
"198","Takashi Narita","Naya Fury","1","3"
