Rank,Player,Deck,Record,Card,Count,Main/Side
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000,"Anax, Hardened in the Forge",4,Main
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000,Bonecrusher Giant,4,Main
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000,Castle Embereth,2,Main
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000,Embercleave,4,Main
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000,Faceless Haven,4,Main
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000,Fervent Champion,4,Main
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000,Fireblade Charger,4,Main
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000,Frost Bite,4,Main
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000,Shatterskull Smashing,1,Main
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000,Phoenix of Ash,1,Main
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000,Rimrock Knight,4,Main
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000,Robber of the Rich,4,Main
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000, Snow-Covered Mountain,17,Main
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000,"Torbran, Thane of Red Fell",3,Main
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000,Ox of Agonas,3,Sideboard
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000,Phoenix of Ash,2,Sideboard
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000,Embereth Paladin,1,Sideboard
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000,Roiling Vortex,2,Sideboard
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000,Scorching Dragonfire,2,Sideboard
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000,The Akroan War,2,Sideboard
1,Christoffer Larsen,Mono-Red Aggro,11/1/2000,Redcap Melee,3,Sideboard
2,simon kamerow,Jeskai Cycling,11/1/2000,Flourishing Fox,4,Main
2,simon kamerow,Jeskai Cycling,11/1/2000,Needleverge Pathway,4,Main
2,simon kamerow,Jeskai Cycling,11/1/2000,Drannith Healer,4,Main
2,simon kamerow,Jeskai Cycling,11/1/2000,Valiant Rescuer,4,Main
2,simon kamerow,Jeskai Cycling,11/1/2000,Startling Development,4,Main
2,simon kamerow,Jeskai Cycling,11/1/2000,Hengegate Pathway,4,Main
2,simon kamerow,Jeskai Cycling,11/1/2000,Frostveil Ambush,3,Main
2,simon kamerow,Jeskai Cycling,11/1/2000,Boon of the Wish-Giver,3,Main
2,simon kamerow,Jeskai Cycling,11/1/2000,Footfall Crater,4,Main
2,simon kamerow,Jeskai Cycling,11/1/2000,Drannith Stinger,4,Main
2,simon kamerow,Jeskai Cycling,11/1/2000,Go for Blood,4,Main
2,simon kamerow,Jeskai Cycling,11/1/2000,Zenith Flare,4,Main
2,simon kamerow,Jeskai Cycling,11/1/2000,Riverglide Pathway,4,Main
2,simon kamerow,Jeskai Cycling,11/1/2000,Improbable Alliance,3,Main
2,simon kamerow,Jeskai Cycling,11/1/2000,Raugrin Triome,4,Main
2,simon kamerow,Jeskai Cycling,11/1/2000,Plains,2,Main
2,simon kamerow,Jeskai Cycling,11/1/2000,Mountain,1,Main
2,simon kamerow,Jeskai Cycling,11/1/2000,Redcap Melee,2,Sideboard
2,simon kamerow,Jeskai Cycling,11/1/2000,Shredded Sails,2,Sideboard
2,simon kamerow,Jeskai Cycling,11/1/2000,Mystical Dispute,2,Sideboard
2,simon kamerow,Jeskai Cycling,11/1/2000,Negate,2,Sideboard
2,simon kamerow,Jeskai Cycling,11/1/2000,Glass Casket,3,Sideboard
2,simon kamerow,Jeskai Cycling,11/1/2000,Lurrus of the Dream-Den,1,Sideboard
2,simon kamerow,Jeskai Cycling,11/1/2000,Improbable Alliance,1,Sideboard
2,simon kamerow,Jeskai Cycling,11/1/2000,Skyclave Cleric,2,Sideboard
3,sandydogmtg,Mono-Red Aggro,10/2/2000,"Anax, Hardened in the Forge",4,Main
3,sandydogmtg,Mono-Red Aggro,10/2/2000,Bonecrusher Giant,4,Main
3,sandydogmtg,Mono-Red Aggro,10/2/2000,Castle Embereth,2,Main
3,sandydogmtg,Mono-Red Aggro,10/2/2000,Embercleave,4,Main
3,sandydogmtg,Mono-Red Aggro,10/2/2000,Faceless Haven,4,Main
3,sandydogmtg,Mono-Red Aggro,10/2/2000,Fervent Champion,4,Main
3,sandydogmtg,Mono-Red Aggro,10/2/2000,Fireblade Charger,4,Main
3,sandydogmtg,Mono-Red Aggro,10/2/2000,Frost Bite,4,Main
3,sandydogmtg,Mono-Red Aggro,10/2/2000,Goldspan Dragon,2,Main
3,sandydogmtg,Mono-Red Aggro,10/2/2000,Rimrock Knight,3,Main
3,sandydogmtg,Mono-Red Aggro,10/2/2000,Robber of the Rich,4,Main
3,sandydogmtg,Mono-Red Aggro,10/2/2000, Snow-Covered Mountain,19,Main
3,sandydogmtg,Mono-Red Aggro,10/2/2000,"Torbran, Thane of Red Fell",2,Main
3,sandydogmtg,Mono-Red Aggro,10/2/2000,Ox of Agonas,3,Sideboard
3,sandydogmtg,Mono-Red Aggro,10/2/2000,Phoenix of Ash,3,Sideboard
3,sandydogmtg,Mono-Red Aggro,10/2/2000,Fire Prophecy,2,Sideboard
3,sandydogmtg,Mono-Red Aggro,10/2/2000,Roiling Vortex,2,Sideboard
3,sandydogmtg,Mono-Red Aggro,10/2/2000,Soul Sear,1,Sideboard
3,sandydogmtg,Mono-Red Aggro,10/2/2000,The Akroan War,2,Sideboard
3,sandydogmtg,Mono-Red Aggro,10/2/2000,Redcap Melee,2,Sideboard
4,liopoil,Naya Adventures,9/3/2000,Giant Killer,4,Main
4,liopoil,Naya Adventures,9/3/2000,Shepherd of the Flock,4,Main
4,liopoil,Naya Adventures,9/3/2000,Bonecrusher Giant,4,Main
4,liopoil,Naya Adventures,9/3/2000,Edgewall Innkeeper,4,Main
4,liopoil,Naya Adventures,9/3/2000,Lovestruck Beast,4,Main
4,liopoil,Naya Adventures,9/3/2000,Unleash Fury,4,Main
4,liopoil,Naya Adventures,9/3/2000,Fabled Passage,3,Main
4,liopoil,Naya Adventures,9/3/2000,Sejiri Shelter,4,Main
4,liopoil,Naya Adventures,9/3/2000,Kazuul's Fury,4,Main
4,liopoil,Naya Adventures,9/3/2000,Branchloft Pathway,4,Main
4,liopoil,Naya Adventures,9/3/2000,Cragcrown Pathway,4,Main
4,liopoil,Naya Adventures,9/3/2000,Needleverge Pathway,4,Main
4,liopoil,Naya Adventures,9/3/2000,Goldspan Dragon,4,Main
4,liopoil,Naya Adventures,9/3/2000,Showdown of the Skalds,4,Main
4,liopoil,Naya Adventures,9/3/2000,Plains,2,Main
4,liopoil,Naya Adventures,9/3/2000,Mountain,2,Main
4,liopoil,Naya Adventures,9/3/2000,Forest,1,Main
4,liopoil,Naya Adventures,9/3/2000,Archon of Absolution,3,Sideboard
4,liopoil,Naya Adventures,9/3/2000,Redcap Melee,2,Sideboard
4,liopoil,Naya Adventures,9/3/2000,Ox of Agonas,1,Sideboard
4,liopoil,Naya Adventures,9/3/2000,Phoenix of Ash,2,Sideboard
4,liopoil,Naya Adventures,9/3/2000,Scorching Dragonfire,2,Sideboard
4,liopoil,Naya Adventures,9/3/2000,Roiling Vortex,2,Sideboard
4,liopoil,Naya Adventures,9/3/2000,The Akroan War,1,Sideboard
4,liopoil,Naya Adventures,9/3/2000,Tormod's Crypt,1,Sideboard
4,liopoil,Naya Adventures,9/3/2000,"Reidane, God of the Worthy",1,Sideboard
5,J  P,Mono-Red Aggro,9/2/2000,Arni Brokenbrow,2,Main
5,J  P,Mono-Red Aggro,9/2/2000,Frost Bite,4,Main
5,J  P,Mono-Red Aggro,9/2/2000,Bonecrusher Giant,4,Main
5,J  P,Mono-Red Aggro,9/2/2000,Fireblade Charger,4,Main
5,J  P,Mono-Red Aggro,9/2/2000,"Anax, Hardened in the Forge",4,Main
5,J  P,Mono-Red Aggro,9/2/2000,Robber of the Rich,4,Main
5,J  P,Mono-Red Aggro,9/2/2000,Rimrock Knight,4,Main
5,J  P,Mono-Red Aggro,9/2/2000,Fervent Champion,4,Main
5,J  P,Mono-Red Aggro,9/2/2000,Embercleave,4,Main
5,J  P,Mono-Red Aggro,9/2/2000,"Torbran, Thane of Red Fell",2,Main
5,J  P,Mono-Red Aggro,9/2/2000,Castle Embereth,2,Main
5,J  P,Mono-Red Aggro,9/2/2000,Faceless Haven,4,Main
5,J  P,Mono-Red Aggro,9/2/2000, Snow-Covered Mountain,18,Main
5,J  P,Mono-Red Aggro,9/2/2000,Embereth Paladin,2,Sideboard
5,J  P,Mono-Red Aggro,9/2/2000,The Akroan War,2,Sideboard
5,J  P,Mono-Red Aggro,9/2/2000,Claim the Firstborn,4,Sideboard
5,J  P,Mono-Red Aggro,9/2/2000,Roiling Vortex,3,Sideboard
5,J  P,Mono-Red Aggro,9/2/2000,Phoenix of Ash,3,Sideboard
5,J  P,Mono-Red Aggro,9/2/2000,Ox of Agonas,1,Sideboard
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Omen of the Sea,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,"Valki, God of Lies",1,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Heartless Act,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Cultivate,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Binding the Old Gods,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Eliminate,2,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Emergent Ultimatum,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Erebos's Intervention,1,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Alrund's Epiphany,2,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Kiora Bests the Sea God,1,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Extinction Event,2,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Zagoth Triome,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Ketria Triome,2,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Barkchannel Pathway,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Darkbore Pathway,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Clearwater Pathway,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Sea Gate Restoration,2,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Forest,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Jwari Disruption,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Fabled Passage,3,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Mazemind Tome,3,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Elspeth's Nightmare,2,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Island,2,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Shark Typhoon,1,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Shadows' Verdict,2,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,"Yorion, Sky Nomad",2,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Wolfwillow Haven,4,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Esika's Chariot,1,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Swamp,3,Main
6,outback@ Horie,Sultai Ultimatum,8/3/2000,"Yorion, Sky Nomad",1,Sideboard
6,outback@ Horie,Sultai Ultimatum,8/3/2000,"Polukranos, Unchained",1,Sideboard
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Negate,2,Sideboard
6,outback@ Horie,Sultai Ultimatum,8/3/2000,Agonizing Remorse,2,Sideboard
