Rank,Player,Deck,Wins,Losses,Card,Count,Main/Side
1,Christoffer Larsen,Mono-Red Aggro,12,1,"Anax, Hardened in the Forge",4,Main
1,Christoffer Larsen,Mono-Red Aggro,12,1,Bonecrusher Giant,4,Main
1,Christoffer Larsen,Mono-Red Aggro,12,1,Castle Embereth,2,Main
1,Christoffer Larsen,Mono-Red Aggro,12,1,Embercleave,4,Main
1,Christoffer Larsen,Mono-Red Aggro,12,1,Faceless Haven,4,Main
1,Christoffer Larsen,Mono-Red Aggro,12,1,Fervent Champion,4,Main
1,Christoffer Larsen,Mono-Red Aggro,12,1,Fireblade Charger,4,Main
1,Christoffer Larsen,Mono-Red Aggro,12,1,Frost Bite,4,Main
1,Christoffer Larsen,Mono-Red Aggro,12,1,Shatterskull Smashing,1,Main
1,Christoffer Larsen,Mono-Red Aggro,12,1,Phoenix of Ash,1,Main
1,Christoffer Larsen,Mono-Red Aggro,12,1,Rimrock Knight,4,Main
1,Christoffer Larsen,Mono-Red Aggro,12,1,Robber of the Rich,4,Main
1,Christoffer Larsen,Mono-Red Aggro,12,1, Snow-Covered Mountain,17,Main
1,Christoffer Larsen,Mono-Red Aggro,12,1,"Torbran, Thane of Red Fell",3,Main
1,Christoffer Larsen,Mono-Red Aggro,12,1,Ox of Agonas,3,Sideboard
1,Christoffer Larsen,Mono-Red Aggro,12,1,Phoenix of Ash,2,Sideboard
1,Christoffer Larsen,Mono-Red Aggro,12,1,Embereth Paladin,1,Sideboard
1,Christoffer Larsen,Mono-Red Aggro,12,1,Roiling Vortex,2,Sideboard
1,Christoffer Larsen,Mono-Red Aggro,12,1,Scorching Dragonfire,2,Sideboard
1,Christoffer Larsen,Mono-Red Aggro,12,1,The Akroan War,2,Sideboard
1,Christoffer Larsen,Mono-Red Aggro,12,1,Redcap Melee,3,Sideboard
2,simon kamerow,Jeskai Cycling,11,2,Flourishing Fox,4,Main
2,simon kamerow,Jeskai Cycling,11,2,Needleverge Pathway,4,Main
2,simon kamerow,Jeskai Cycling,11,2,Drannith Healer,4,Main
2,simon kamerow,Jeskai Cycling,11,2,Valiant Rescuer,4,Main
2,simon kamerow,Jeskai Cycling,11,2,Startling Development,4,Main
2,simon kamerow,Jeskai Cycling,11,2,Hengegate Pathway,4,Main
2,simon kamerow,Jeskai Cycling,11,2,Frostveil Ambush,3,Main
2,simon kamerow,Jeskai Cycling,11,2,Boon of the Wish-Giver,3,Main
